timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-11-23T21:25:32.219559,102,1e-08,119,164,152,70,164,164,1.3387100578956425e-14,1.3387100578956424e-06,1e-12,9.999999999999982e-13,1.2942526825957756e-06,0.31591798784958003,4.943202519940208,5.113000746026532,1000000000000.0,
2025-11-23T21:25:32.438668,103,1e-08,117,158,154,72,158,158,1.6625855062459352e-14,1.662585506245935e-06,1e-12,9.999999999999982e-13,1.6129867010805452e-06,0.3234235123785978,4.074817609874209,4.2001168975752545,1000000000000.0,
2025-11-23T21:25:32.625344,104,1e-08,124,172,156,72,172,172,1.4358309586634096e-14,1.4358309586634095e-06,1e-12,9.999999999999986e-13,1.4031734354822813e-06,0.3028403319570459,4.418053551873721,4.520879533778225,1000000000000.0,
2025-11-23T21:25:32.769740,105,1e-08,120,168,148,68,168,168,1.8259496859408684e-14,1.8259496859408682e-06,1e-12,9.99999999999995e-13,1.7743995380384995e-06,0.29565058911001235,3.3916460059793354,3.4901806648837153,1000000000000.0,
2025-11-23T21:25:32.902337,106,1e-08,128,178,163,74,178,178,1.6109796791704988e-14,1.6109796791704988e-06,1e-12,1.0000000000000022e-12,1.5641258646756877e-06,0.3160362607870566,4.109296022353305,4.2323910992162705,1000000000000.0,
2025-11-23T21:25:33.032326,107,1e-08,122,166,155,75,166,166,1.5127969972362057e-14,1.5127969972362055e-06,1e-12,1.0000000000000038e-12,1.4592634294774794e-06,0.3280274371744669,4.542030982878455,4.708656911050466,1000000000000.0,
2025-11-23T21:25:33.169787,100,1.58489319246111e-08,86,134,89,34,134,134,6.484171572088059e-15,4.1039060582835823e-07,1e-12,9.99999999999999e-13,3.9362611678540707e-07,0.11569226744472347,5.905103272909312,6.156600912152982,1000000000000.0,
2025-11-23T21:25:33.303806,101,1.58489319246111e-08,85,132,89,35,132,132,8.67863343670737e-15,5.492805972599602e-07,1e-12,1.000000000000004e-12,5.132044215279893e-07,0.10675580855015343,4.0711568155112525,4.357342519585092,1000000000000.0,
2025-11-23T21:25:33.432509,102,1.58489319246111e-08,83,128,98,35,128,128,7.689844560642173e-15,4.866990228254541e-07,1e-12,1.0000000000000004e-12,4.7094598025368504e-07,0.10531338170251439,4.532561020277767,4.684174219467014,1000000000000.0,
2025-11-23T21:25:33.560622,103,1.58489319246111e-08,89,130,113,44,130,130,8.033973585042027e-15,5.084793408254448e-07,1e-12,1.0000000000000006e-12,4.964935018793612e-07,0.11544385750617767,4.755739884742503,4.8705480989733525,1000000000000.0,
2025-11-23T21:25:33.690690,104,1.58489319246111e-08,86,134,89,34,134,134,8.239936412542512e-15,5.215149628191464e-07,1e-12,9.999999999999978e-13,5.048156082142983e-07,0.1038290112139049,4.1703501451012155,4.308305776357889,1000000000000.0,
2025-11-23T21:25:33.830549,105,1.58489319246111e-08,84,132,85,32,132,132,8.338293689557747e-15,5.277401069340347e-07,1e-12,1.0000000000000018e-12,5.017657764304357e-07,0.10316237701338778,4.09469742076521,4.306662901702978,1000000000000.0,
2025-11-23T21:25:34.002943,106,1.58489319246111e-08,94,144,109,40,144,144,8.877284934783265e-15,5.618534768850168e-07,1e-12,1.000000000000004e-12,5.441059906789741e-07,0.15196795968393573,5.66564730110703,5.850447687515615,1000000000000.0,
2025-11-23T21:25:34.139742,107,1.58489319246111e-08,82,126,92,35,126,126,6.792298616316341e-15,4.298923174883761e-07,1e-12,9.99999999999986e-13,3.8730616804601624e-07,0.13200491722858987,6.4320735283073605,7.139310507988509,1000000000000.0,
2025-11-23T21:25:34.288116,100,2.51188643150958e-08,86,134,89,34,134,134,4.362543249074423e-15,1.7380650394718817e-07,1e-12,9.999999999999982e-13,1.688195994342375e-07,0.08739193904371527,10.532365621655735,10.843490051678694,1000000000000.0,
2025-11-23T21:25:34.449041,101,2.51188643150958e-08,88,135,92,37,135,135,6.9001776857047964e-15,2.749074775181194e-07,1e-12,1.0000000000000006e-12,2.408116940928246e-07,0.06241926148574816,4.756118300369253,5.429522389507726,1000000000000.0,
2025-11-23T21:25:34.605289,102,2.51188643150958e-08,83,128,92,34,128,128,5.062661170145062e-15,2.0169964821295068e-07,1e-12,9.99999999999998e-13,1.958436007083566e-07,0.05338230926812006,5.5438668565402915,5.709637642788194,1000000000000.0,
2025-11-23T21:25:34.752426,103,2.51188643150958e-08,89,130,113,44,130,130,6.0586884999949806e-15,2.413820119519913e-07,1e-12,9.999999999999943e-13,2.2966957662475344e-07,0.043636343057066596,3.786727205409234,3.979838535812878,1000000000000.0,
2025-11-23T21:25:34.896899,104,2.51188643150958e-08,86,134,89,34,134,134,6.6201330337068945e-15,2.637503200680038e-07,1e-12,1.0000000000000022e-12,2.520195043011455e-07,0.06402898312946007,5.085154876895462,5.321854870303593,1000000000000.0,
2025-11-23T21:25:35.034705,105,2.51188643150958e-08,84,132,85,32,132,132,4.935658624332236e-15,1.9663978582996955e-07,1e-12,9.999999999999974e-13,1.895149138756912e-07,0.04674481018086768,4.979463844215714,5.166668331532563,1000000000000.0,
2025-11-23T21:25:35.159314,106,2.51188643150958e-08,94,144,109,40,144,144,6.157274050334218e-15,2.453097231208852e-07,1e-12,9.99999999999997e-13,2.3736958813793474e-07,0.04537070090738389,3.874193440721367,4.003787206758124,1000000000000.0,
2025-11-23T21:25:35.274560,107,2.51188643150958e-08,82,126,92,34,126,126,5.012690714677526e-15,1.9970879341344726e-07,1e-12,1.0000000000000087e-12,1.8322645076788147e-07,0.09596699938040676,10.065730614292166,10.97120479810912,1000000000000.0,
2025-11-23T21:25:35.399845,100,3.98107170553497e-08,86,134,89,34,134,134,3.1885034878781987e-15,8.011315296176379e-08,1e-12,1.0000000000000042e-12,7.789270801021447e-08,0.03146793395797948,8.227823768987749,8.462369854453035,1000000000000.0,
2025-11-23T21:25:35.508320,101,3.98107170553497e-08,85,132,89,34,132,132,5.881982510348041e-15,1.4778850528512665e-07,1e-12,1.0000000000000024e-12,1.1462182999852079e-07,0.037846047305556435,5.364144228193671,6.916299082197629,1000000000000.0,
2025-11-23T21:25:35.618593,102,3.98107170553497e-08,83,128,92,34,128,128,3.998370039404773e-15,1.0046155877901439e-07,1e-12,1.0000000000000034e-12,9.463660240390495e-08,0.03672605613175276,7.657640193683265,8.128973894719103,1000000000000.0,
2025-11-23T21:25:35.738932,103,3.98107170553497e-08,89,130,113,44,130,130,4.2569065724187e-15,1.0695745156830906e-07,1e-12,9.99999999999998e-13,1.0120436190158034e-07,0.02854837700052044,5.591018791646562,5.908847310421162,1000000000000.0,
2025-11-23T21:25:35.964882,104,3.98107170553497e-08,86,134,89,34,134,134,4.961520174208076e-15,1.2466131090975065e-07,1e-12,9.999999999999978e-13,1.1901249892278009e-07,0.050205087351937995,8.436000810862387,8.836407347434752,1000000000000.0,
2025-11-23T21:25:36.073506,105,3.98107170553497e-08,84,132,85,32,132,132,4.516241339888565e-15,1.1347340049971268e-07,1e-12,9.999999999999982e-13,1.0372182933085508e-07,0.03163163132246558,5.839129346573034,6.3881042899828815,1000000000000.0,
2025-11-23T21:25:36.206849,106,3.98107170553497e-08,94,144,109,40,144,144,4.454360290600329e-15,1.119186002663399e-07,1e-12,1.000000000000006e-12,1.055775108661734e-07,0.081659792002735,15.283632090638338,16.201582103390937,1000000000000.0,
2025-11-23T21:25:36.339359,107,3.98107170553497e-08,82,126,92,34,126,126,3.938672687954085e-15,9.896162532547953e-08,1e-12,9.999999999999909e-13,9.268142051395043e-08,0.09265748566563939,19.612559174872988,20.94152983386172,1000000000000.0,
2025-11-23T21:25:36.451877,100,1e-07,122,170,152,70,170,170,1.9670724774596854e-15,1.9670724774596856e-08,1e-12,1.0000000000000012e-12,1.9335477346738615e-08,0.007556192290315319,8.046429577466538,8.18594228619949,1000000000000.0,
2025-11-23T21:25:36.571862,101,1e-07,121,168,152,70,168,168,1.861093665609582e-15,1.8610936656095822e-08,1e-12,9.999999999999994e-13,1.7863251583440936e-08,0.006233367669185959,7.015765887406743,7.309418104235956,1000000000000.0,
2025-11-23T21:25:36.701487,102,1e-07,119,164,152,70,164,164,1.908562336058021e-15,1.9085623360580214e-08,1e-12,9.999999999999988e-13,1.8722138326500018e-08,0.013546361839749915,14.867464087245343,15.156111708376809,1000000000000.0,
2025-11-23T21:25:36.817705,103,1e-07,117,158,154,72,158,158,1.757153758823396e-15,1.7571537588233963e-08,1e-12,1.000000000000002e-12,1.705694353295441e-08,0.003491922042574817,4.162702260976388,4.288287588339325,1000000000000.0,
2025-11-23T21:25:36.924505,104,1e-07,124,172,156,72,172,172,1.912214504296047e-15,1.912214504296047e-08,1e-12,9.99999999999999e-13,1.845868755465727e-08,0.013334149915308485,14.606605532882746,15.131608287861225,1000000000000.0,
2025-11-23T21:25:37.029132,105,1e-07,120,168,148,68,168,168,2.296205441783031e-15,2.2962054417830313e-08,1e-12,9.999999999999998e-13,2.190419915033696e-08,0.011351188828899943,10.355025715220167,10.855117885798624,1000000000000.0,
2025-11-23T21:25:37.150683,106,1e-07,128,178,163,74,178,178,1.974601744056706e-15,1.9746017440567064e-08,1e-12,9.999999999999982e-13,1.9137598358115038e-08,0.006144407409398862,6.518100662344961,6.725322945418544,1000000000000.0,
2025-11-23T21:25:37.285945,107,1e-07,118,162,151,70,162,162,2.0356260491612873e-15,2.0356260491612874e-08,1e-12,1.0000000000000066e-12,1.9442219470807895e-08,0.013465368040890028,13.85609345192512,14.507512793332264,1000000000000.0,
2025-11-23T21:25:37.410686,100,1.58489319246111e-07,45,62,44,19,62,62,1.2010568180304323e-15,7.70613164542144e-09,1e-12,9.999999999999998e-13,6.382485352002305e-09,0.0469513501168466,127.62396603640738,154.09155354799393,1000000000000.0,
2025-11-23T21:25:37.521999,101,1.58489319246111e-07,40,53,37,17,53,53,3.5032371979451087e-16,3.44744062254937e-09,1e-12,1.0000000000000046e-12,3.3663143171546955e-09,0.008407519880114334,51.084798350610605,52.315913618396976,1000000000000.0,
2025-11-23T21:25:37.633995,102,1.58489319246111e-07,37,49,37,16,49,49,7.7857914679585e-16,5.393536347620618e-09,1e-12,1.0000000000000024e-12,4.967131952392987e-09,0.004559275166672922,17.706909576505826,19.22696262556623,1000000000000.0,
2025-11-23T21:25:37.772650,103,1.58489319246111e-07,54,72,68,29,72,72,5.022776661069615e-16,5.244279598555184e-09,1e-12,1.0000000000000008e-12,5.161141584839618e-09,0.0026295347243085413,10.503006820799133,10.672194026917877,1000000000000.0,
2025-11-23T21:25:37.906973,104,1.58489319246111e-07,42,56,40,18,56,56,6.520029464224586e-16,6.871106861106824e-09,1e-12,9.999999999999945e-13,6.47503678569606e-09,0.002865010380214957,8.734138456879704,9.268395016611745,1000000000000.0,
2025-11-23T21:25:38.048941,105,1.58489319246111e-07,43,60,40,17,60,60,7.048257106051561e-16,4.4677572082326294e-09,1e-12,1.0000000000000075e-12,3.946274162244468e-09,0.014141142018261102,66.3003002216138,75.06159786288875,1000000000000.0,
2025-11-23T21:25:38.173782,106,1.58489319246111e-07,49,66,51,22,66,66,7.732429239390574e-16,5.821789412872754e-09,1e-12,1.0000000000000068e-12,5.237130739767728e-09,0.003317801787431199,11.937531211498943,13.270203910552919,1000000000000.0,
2025-11-23T21:25:38.307895,107,1.58489319246111e-07,38,49,38,17,49,49,3.17478406552418e-16,2.9033788592341712e-09,1e-12,9.999999999999976e-13,2.764063238692713e-09,0.012883065596126664,92.94715116158841,97.63191736388475,1000000000000.0,
2025-11-23T21:25:38.447842,100,2.51188643150958e-07,45,62,44,19,62,62,7.559167910082272e-16,3.061244318797935e-09,1e-12,1.0000000000000016e-12,2.490309828051104e-09,0.04099174418479512,280.491032386667,344.7970889788543,1000000000000.0,
2025-11-23T21:25:38.592944,101,2.51188643150958e-07,40,53,37,17,53,53,2.22077298515086e-16,1.3792203533126741e-09,1e-12,1.0000000000000018e-12,1.3460613385636771e-09,0.002873778344535721,43.64557160805103,44.72074114989677,1000000000000.0,
2025-11-23T21:25:38.715484,102,2.51188643150958e-07,37,49,37,16,49,49,6.194129024132682e-16,2.7064973458898906e-09,1e-12,1.0000000000000028e-12,2.489801673968227e-09,0.014828446166291033,114.76477632608422,124.75313426596952,1000000000000.0,
2025-11-23T21:25:38.834514,103,2.51188643150958e-07,54,72,68,29,72,72,3.2168289240940125e-16,2.1199228673238275e-09,1e-12,1.0000000000000014e-12,2.0822040062239933e-09,0.0016975476886601274,16.773453897503476,17.077302884362236,1000000000000.0,
2025-11-23T21:25:38.965374,104,2.51188643150958e-07,42,56,40,18,56,56,5.720916273433149e-16,3.804996206267825e-09,1e-12,1.0000000000000002e-12,3.3657990343499424e-09,0.005179889014271314,28.51588152775955,32.23686854864871,1000000000000.0,
2025-11-23T21:25:39.088110,105,2.51188643150958e-07,43,60,40,17,60,60,5.411024673382518e-16,2.162069343492274e-09,1e-12,1.0000000000000002e-12,1.9036109715805293e-09,0.010402499625441765,100.78332104293898,114.46694309676089,1000000000000.0,
2025-11-23T21:25:39.219972,106,2.51188643150958e-07,49,66,51,22,66,66,5.586217202214095e-16,2.654664520474796e-09,1e-12,9.999999999999937e-13,2.429691489086648e-09,0.002474062271463822,19.521876287367807,21.329470258240423,1000000000000.0,
2025-11-23T21:25:39.340534,107,2.51188643150958e-07,38,49,38,17,49,49,1.9924111551790563e-16,1.1496925165549553e-09,1e-12,9.999999999999996e-13,1.0946177079675966e-09,0.01516490668881429,276.29855471240046,290.20029401643865,1000000000000.0,
2025-11-23T21:25:39.466686,100,3.98107170553497e-07,86,134,89,34,134,134,9.199731267854059e-16,2.310909637742793e-09,1e-12,1.000000000000001e-12,1.9087592948471347e-09,0.0381065866213941,345.41219000059453,418.1859708665596,1000000000000.0,
2025-11-23T21:25:39.593365,101,3.98107170553497e-07,85,132,89,34,132,132,4.5033530985327956e-15,1.1312115293978388e-08,1e-12,9.999999999999998e-13,2.150437642708734e-09,0.01197539284238893,22.175147712489593,116.649663586018,1000000000000.0,
2025-11-23T21:25:39.713874,102,3.98107170553497e-07,83,128,92,34,128,128,1.079212345467948e-15,2.710907675126722e-09,1e-12,1.0000000000000002e-12,2.2238361566964204e-09,0.018898696998017068,146.0285289239404,178.01215195432917,1000000000000.0,
2025-11-23T21:25:39.844213,103,3.98107170553497e-07,89,130,113,44,130,130,9.672015185965292e-16,2.4295441311141154e-09,1e-12,1.000000000000001e-12,1.7935878480087078e-09,0.01766985199531641,152.34517182167417,206.36252554556953,1000000000000.0,
2025-11-23T21:25:39.974095,104,3.98107170553497e-07,86,134,89,34,134,134,8.488716130785906e-16,2.132307493289602e-09,1e-12,1e-12,1.8674246003821305e-09,0.02635795597772954,258.9300591228243,295.6577230440994,1000000000000.0,
2025-11-23T21:25:40.105542,105,3.98107170553497e-07,84,132,85,32,132,132,3.0591068652833335e-15,7.684267433517542e-09,1e-12,9.999999999999998e-13,3.5420706043681354e-09,0.028446252489853233,77.54310099811212,168.22418078254245,1000000000000.0,
2025-11-23T21:25:40.231721,106,3.98107170553497e-07,94,144,109,40,144,144,1.7714445889961224e-15,4.449747774418795e-09,1e-12,1.0000000000000018e-12,2.3259422918255194e-09,0.010552458209959084,49.67510819561687,95.03318414833676,1000000000000.0,
2025-11-23T21:25:40.379021,107,3.98107170553497e-07,82,126,92,34,126,126,2.7036955465952043e-15,6.79149848428838e-09,1e-12,9.999999999999998e-13,2.342188892120814e-09,0.13033308413826522,401.9848072271519,1165.6101769478194,1000000000000.0,
2025-11-23T21:25:40.553307,100,1e-06,122,170,152,70,170,170,5.85385869717486e-16,5.85385869717486e-10,1e-12,9.999999999999984e-13,5.130107657073165e-10,0.021785755752365216,779.562555379601,889.5425495620651,1000000000000.0,
2025-11-23T21:25:40.834501,101,1e-06,121,168,152,70,168,168,2.492424483186299e-16,2.492424483186299e-10,1e-12,1.000000000000002e-12,2.2459865035071058e-10,0.008715629844520697,732.4826529282964,812.8533696961115,1000000000000.0,
2025-11-23T21:25:40.995040,102,1e-06,119,164,152,70,164,164,1.3498607782350707e-15,1.3498607782350707e-09,1e-12,9.999999999999998e-13,1.265579307563258e-09,0.0076122719320110225,118.12610682597969,125.99273513487498,1000000000000.0,
2025-11-23T21:25:41.225960,103,1e-06,117,158,154,72,158,158,5.103925041704853e-16,5.103925041704853e-10,1e-12,9.999999999999996e-13,4.914784166455393e-10,0.0011864253780077148,48.69189934337261,50.565761581763894,1000000000000.0,
2025-11-23T21:25:41.499946,104,1e-06,124,172,156,72,172,172,5.593430112874165e-16,5.593430112874166e-10,1e-12,9.999999999999986e-13,5.189646990026928e-10,0.010986561715073537,411.43777125568505,443.44989625266214,1000000000000.0,
2025-11-23T21:25:41.715532,105,1e-06,120,168,148,68,168,168,9.716866474443563e-16,9.716866474443562e-10,1e-12,1.0000000000000012e-12,8.004288424235215e-10,0.014718221574141935,317.28509956602437,385.1706464598272,1000000000000.0,
2025-11-23T21:25:41.922506,106,1e-06,128,178,163,74,178,178,4.3908533356057143e-16,4.3908533356057145e-10,1e-12,9.999999999999998e-13,4.1418496845895975e-10,0.002135308519865447,101.86670937175359,107.9908289034062,1000000000000.0,
2025-11-23T21:25:42.104045,107,1e-06,118,162,151,70,162,162,8.426056302720464e-16,8.426056302720464e-10,1e-12,9.999999999999963e-13,8.012054083396544e-10,0.004806110048965202,119.47854618740388,125.65229174232795,1000000000000.0,
2025-11-23T21:25:42.241534,100,1.58489319246111e-06,45,62,44,19,62,62,6.895364983488031e-16,4.423857909153796e-10,1e-12,1.0000000000000006e-12,3.394718306604401e-10,0.014322689626196544,678.1784521948993,883.7743926273012,1000000000000.0,
2025-11-23T21:25:42.385622,101,1.58489319246111e-06,40,53,37,17,53,53,3.790735373565819e-17,3.730788609428503e-11,1e-12,9.999999999999976e-13,3.63890317424172e-11,0.007316335901365823,4107.840471494996,4211.566976798301,1000000000000.0,
2025-11-23T21:25:42.529900,102,1.58489319246111e-06,37,49,37,16,49,49,1.5976387566995309e-15,1.1062466861709186e-09,1e-12,9.999999999999994e-13,9.93064860890956e-10,0.005685814174045637,107.66170525865773,119.93215081948021,1000000000000.0,
2025-11-23T21:25:42.664794,103,1.58489319246111e-06,54,72,68,29,72,72,1.5679805313134642e-16,1.6367311820327872e-10,1e-12,9.999999999999992e-13,1.6067841936108306e-10,0.00046616420348200233,59.65984766194846,60.77177842047371,1000000000000.0,
2025-11-23T21:25:42.822439,104,1.58489319246111e-06,42,56,40,18,56,56,3.513744931334522e-16,3.702400945646622e-10,1e-12,1.0000000000000002e-12,3.088322808032132e-10,0.008327498107886968,471.1418357432784,564.8230727865838,1000000000000.0,
2025-11-23T21:25:42.965175,105,1.58489319246111e-06,43,60,40,17,60,60,1.5579033053736338e-15,9.867003303842694e-10,1e-12,1.000000000000006e-12,8.500965299351845e-10,0.01473890784053216,312.89642776202953,363.17641323908435,1000000000000.0,
2025-11-23T21:25:43.097004,106,1.58489319246111e-06,49,66,51,22,66,66,8.895974360525013e-16,6.698388296725693e-10,1e-12,9.999999999999988e-13,6.02026514153078e-10,0.005112346714071358,159.87131802717138,177.87923629274277,1000000000000.0,
2025-11-23T21:25:43.245350,107,1.58489319246111e-06,38,49,38,17,49,49,4.2672100992642243e-16,3.9029436080520727e-10,1e-12,9.999999999999996e-13,3.709975386660302e-10,0.006435486250898163,345.38992548965257,363.354810067599,1000000000000.0,
2025-11-23T21:25:43.365819,100,2.51188643150958e-06,45,62,44,19,62,62,1.494220665777016e-15,6.048670428731766e-10,1e-12,9.99999999999997e-13,4.809345413132623e-10,0.01624100764384478,562.4366646153521,707.371529606454,1000000000000.0,
2025-11-23T21:25:43.508115,101,2.51188643150958e-06,40,53,37,17,53,53,4.269958056985455e-17,2.6516138598754414e-11,1e-12,9.999999999999927e-13,2.586358915068361e-11,0.002471200982404007,1952.1732740980979,2001.4274431590698,1000000000000.0,
2025-11-23T21:25:43.662449,102,2.51188643150958e-06,37,49,37,16,49,49,1.3180167877617465e-15,5.75824979947368e-10,1e-12,9.999999999999982e-13,5.1483666443215e-10,0.01027510351427027,373.7801895422701,418.0587456514888,1000000000000.0,
2025-11-23T21:25:43.849630,103,2.51188643150958e-06,54,72,68,29,72,72,5.463086554272303e-16,3.598337619717004e-10,1e-12,9.999999999999976e-13,3.528802801096292e-10,0.0024747643553760627,144.06302115247354,146.90177316283723,1000000000000.0,
2025-11-23T21:25:44.007600,104,2.51188643150958e-06,42,56,40,18,56,56,1.0015112341299793e-15,6.657980356361719e-10,1e-12,9.999999999999974e-13,5.690598621257237e-10,0.005531129679761665,174.01709189296417,203.5993849867723,1000000000000.0,
2025-11-23T21:25:44.138849,105,2.51188643150958e-06,43,60,40,17,60,60,1.6885641794308591e-15,6.748080705402316e-10,1e-12,9.999999999999978e-13,5.338299159234597e-10,0.012674717534220314,393.4400773826132,497.3429393376811,1000000000000.0,
2025-11-23T21:25:44.333827,106,2.51188643150958e-06,49,66,51,22,66,66,1.6216960193301078e-15,7.704112655839385e-10,1e-12,1.0000000000000032e-12,6.945788080846534e-10,0.002668417176125162,72.55238241031246,80.47347846386691,1000000000000.0,
2025-11-23T21:25:44.587352,107,2.51188643150958e-06,38,49,38,17,49,49,1.0340438979314918e-15,5.967653617762904e-10,1e-12,9.999999999999963e-13,5.677444210817587e-10,0.012833178852269561,450.45479568455784,473.4803357439756,1000000000000.0,
2025-11-23T21:25:44.772005,100,3.98107170553497e-06,45,62,44,19,62,62,2.4869422670873257e-15,6.351954753947605e-10,1e-12,9.999999999999978e-13,4.936912215768926e-10,0.022780586346883264,751.2389163545239,966.5627820658647,1000000000000.0,
2025-11-23T21:25:44.961420,101,3.98107170553497e-06,40,53,37,17,53,53,8.927232118443247e-17,3.4979346396883864e-11,1e-12,9.999999999999945e-13,3.412572680388291e-11,0.007486373444291476,4483.120088178919,4595.26067838637,1000000000000.0,
2025-11-23T21:25:45.195385,102,3.98107170553497e-06,37,49,37,16,49,49,4.948766982746683e-15,1.3641502048888717e-09,1e-12,1.000000000000002e-12,1.2256875630353767e-09,0.008234640302638018,126.44539463901005,140.7295922762669,1000000000000.0,
2025-11-23T21:25:45.408908,103,3.98107170553497e-06,54,72,68,29,72,72,3.4324925274094084e-16,1.426546425313727e-10,1e-12,9.999999999999994e-13,1.399598326545605e-10,0.0012471897101452632,183.13324231967866,186.65932020085017,1000000000000.0,
2025-11-23T21:25:45.573310,104,3.98107170553497e-06,42,56,40,18,56,56,2.0264238959172508e-15,8.499704088761364e-10,1e-12,9.999999999999988e-13,6.916365390113944e-10,0.01608228748972609,396.33697499248376,487.06897580716543,1000000000000.0,
2025-11-23T21:25:45.752609,105,3.98107170553497e-06,43,60,40,17,60,60,3.3999701053113278e-15,8.573090178590366e-10,1e-12,9.999999999999984e-13,7.121731590447917e-10,0.013932004198216425,340.4056657647605,409.777935722629,1000000000000.0,
2025-11-23T21:25:45.897341,106,3.98107170553497e-06,49,66,51,22,66,66,2.507363098479178e-15,7.51576949941961e-10,1e-12,1.0000000000000018e-12,6.767901428740255e-10,0.004251393821640774,118.48911618407583,131.5824254838806,1000000000000.0,
2025-11-23T21:25:46.028991,107,3.98107170553497e-06,38,49,38,17,49,49,1.0007116193874822e-15,3.643725044858014e-10,1e-12,1.0000000000000006e-12,3.4576393241973447e-10,0.004246245305052205,244.1069009960913,257.24442181042474,1000000000000.0,
2025-11-23T21:25:46.161031,100,1e-05,122,170,152,70,170,170,1.0248117482795182e-14,1.0248117482795181e-09,1e-12,1.0000000000000008e-12,9.024744356378164e-10,0.008563411392928297,175.03435083972377,198.76159590742807,1000000000000.0,
2025-11-23T21:25:46.317384,101,1e-05,121,168,152,70,168,168,1.0761843022880292e-15,1.0761843022880291e-10,1e-12,9.99999999999998e-13,9.652555836820228e-11,0.004495185053357027,874.9464983650208,975.4967521560588,1000000000000.0,
2025-11-23T21:25:46.518136,102,1e-05,119,164,152,70,164,164,9.744015331997845e-15,9.744015331997845e-10,1e-12,1.0000000000000024e-12,9.128098438281803e-10,0.006984566605936683,150.14887406160886,160.28014386903604,1000000000000.0,
2025-11-23T21:25:46.721411,103,1e-05,117,158,154,72,158,158,3.204836401519082e-15,3.2048364015190815e-10,1e-12,1.000000000000001e-12,3.081134057933706e-10,0.0022061902113947127,144.1974777087934,149.98676360037842,1000000000000.0,
2025-11-23T21:25:46.943995,104,1e-05,124,172,156,72,172,172,7.950864515813114e-15,7.950864515813114e-10,1e-12,1.000000000000001e-12,7.335296224697264e-10,0.009855747806470177,259.6544704782045,281.44432787138095,1000000000000.0,
2025-11-23T21:25:47.103153,105,1e-05,120,168,148,68,168,168,1.3011649931049468e-14,1.3011649931049467e-09,1e-12,9.999999999999984e-13,1.126508636164495e-09,0.01006142050683445,161.9748196942253,187.08774916114947,1000000000000.0,
2025-11-23T21:25:47.262973,106,1e-05,128,178,163,74,178,178,1.0911772277912157e-14,1.0911772277912156e-09,1e-12,9.999999999999961e-13,1.027821905647932e-09,0.0031466090111136776,60.404328867233104,64.12767402382414,1000000000000.0,
